Strategy,Time frame,Deposit,margin,Start Period,End Period,Risk-Free Rate,Time in Market,,Cumulative Return,CAGR﹪,,Sharpe,Prob. Sharpe Ratio,Smart Sharpe,Sortino,Smart Sortino,Sortino/√2,Smart Sortino/√2,Omega,,Max Drawdown,Longest DD Days,Volatility (ann.),Calmar,Skew,Kurtosis,,Expected Daily %,Expected Monthly %,Expected Yearly %,Kelly Criterion,Risk of Ruin,Daily Value-at-Risk,Expected Shortfall (cVaR),,Max Consecutive Wins,Max Consecutive Losses,Gain/Pain Ratio,Gain/Pain (1M),,Payoff Ratio,Profit Factor,Common Sense Ratio,CPC Index,Tail Ratio,Outlier Win Ratio,Outlier Loss Ratio,,MTD,3M,6M,YTD,1Y,3Y (ann.),5Y (ann.),10Y (ann.),All-time (ann.),,Best Day,Worst Day,Best Month,Worst Month,Best Year,Worst Year,,Avg. Drawdown,Avg. Drawdown Days,Recovery Factor,Ulcer Index,Serenity Index,,Avg. Up Month,Avg. Down Month,Win Days %,Win Month %,Win Quarter %,Win Year %
XAUUSD_AUDUSD,D1,10000,1/100,2007-03-06,2023-03-01,0.00%,100.00%,,-8.45%,-0.38%,,-0.2,18.64%,-0.2,-0.27,-0.27,-0.19,-0.19,0.96,,-14.02%,5706,2.12%,-0.03,-0.71,9.14,,0.00%,-0.05%,-0.52%,-1.94%,0.00%,-0.22%,-0.22%,,10,9,-0.04,-0.17,,0.96,0.96,0.97,0.46,1.01,4.04,4.29,,0.09%,0.74%,1.49%,0.20%,-0.22%,0.51%,0.55%,-0.36%,-0.38%,,0.80%,-1.27%,2.56%,-1.82%,3.55%,-3.66%,,-0.88%,342,0.6,0.09,-0.01,,0.47%,-0.50%,49.96%,47.15%,46.15%,41.18%
XAUUSD_AUDUSD,H4,10000,1/100,2007-03-06,2023-03-01,0.00%,100.00%,,-7.22%,-0.32%,,-0.17,22.52%,-0.17,-0.23,-0.23,-0.16,-0.16,0.97,,-12.80%,5706,2.11%,-0.03,-0.71,9.27,,0.00%,-0.04%,-0.44%,-1.64%,0.00%,-0.22%,-0.22%,,10,10,-0.03,-0.14,,0.98,0.97,0.98,0.47,1.01,3.99,4.31,,0.09%,0.73%,1.47%,0.20%,-0.21%,0.51%,0.55%,-0.24%,-0.32%,,0.80%,-1.28%,2.57%,-1.83%,3.50%,-2.90%,,-0.81%,342,0.55,0.08,-0.01,,0.46%,-0.48%,49.81%,47.15%,46.15%,41.18%
XAUUSD_AUDUSD,H1,10000,1/100,2007-03-06,2023-03-01,0.00%,100.00%,,-7.42%,-0.33%,,-0.17,21.92%,-0.17,-0.23,-0.23,-0.17,-0.16,0.97,,-13.00%,5706,2.12%,-0.03,-0.82,10.84,,0.00%,-0.04%,-0.45%,-1.68%,0.00%,-0.22%,-0.22%,,10,10,-0.03,-0.15,,0.98,0.97,0.97,0.47,1.01,4,4.31,,0.09%,0.73%,1.47%,0.20%,-0.21%,0.51%,0.55%,-0.25%,-0.33%,,0.80%,-1.53%,2.57%,-1.88%,3.51%,-2.99%,,-0.82%,342,0.56,0.08,-0.01,,0.46%,-0.49%,49.80%,47.67%,46.15%,41.18%
XAUUSD_AUDUSD,M30,10000,1/100,2007-03-06,2023-03-01,0.00%,100.00%,,-7.58%,-0.34%,,-0.18,21.49%,-0.18,-0.24,-0.24,-0.17,-0.17,0.97,,-13.16%,5706,2.12%,-0.03,-0.95,12.79,,0.00%,-0.04%,-0.46%,-1.72%,0.00%,-0.22%,-0.22%,,10,10,-0.03,-0.15,,0.98,0.97,0.97,0.47,1,3.99,4.32,,0.09%,0.73%,1.48%,0.20%,-0.21%,0.51%,0.55%,-0.26%,-0.34%,,0.80%,-1.73%,2.57%,-2.01%,3.51%,-3.04%,,-0.83%,342,0.56,0.08,-0.01,,0.46%,-0.49%,49.74%,47.67%,46.15%,41.18%
XAUUSD_EURUSD,D1,10000,1/100,2007-03-06,2023-03-01,0.00%,100.00%,,-7.81%,-0.35%,,-0.18,20.89%,-0.18,-0.25,-0.24,-0.17,-0.17,0.97,,-13.50%,5706,2.13%,-0.03,-0.66,9.4,,0.00%,-0.04%,-0.48%,-1.76%,0.00%,-0.22%,-0.22%,,12,12,-0.03,-0.15,,0.98,0.97,0.98,0.47,1.01,4.1,4.38,,0.02%,0.42%,0.71%,0.18%,-0.16%,0.77%,0.57%,-0.31%,-0.35%,,0.77%,-1.40%,2.21%,-1.99%,3.17%,-3.89%,,-1.30%,529,0.57,0.08,-0.01,,0.47%,-0.51%,49.59%,48.19%,44.62%,41.18%
XAUUSD_EURUSD,H4,10000,1/100,2007-03-06,2023-03-01,0.00%,100.00%,,-8.32%,-0.37%,,-0.19,19.35%,-0.19,-0.26,-0.26,-0.19,-0.18,0.96,,-14.01%,5706,2.14%,-0.03,-0.66,9.44,,0.00%,-0.05%,-0.51%,-1.88%,0.00%,-0.22%,-0.22%,,12,11,-0.04,-0.16,,0.98,0.96,0.97,0.47,1.01,4.1,4.35,,0.02%,0.42%,0.71%,0.18%,-0.16%,0.77%,0.54%,-0.29%,-0.37%,,0.77%,-1.41%,2.23%,-2.17%,3.18%,-3.54%,,-1.35%,529,0.59,0.09,-0.01,,0.49%,-0.50%,49.47%,46.63%,43.08%,41.18%
XAUUSD_EURUSD,H1,10000,1/100,2007-03-06,2023-03-01,0.00%,100.00%,,-8.05%,-0.36%,,-0.19,20.19%,-0.18,-0.25,-0.25,-0.18,-0.18,0.96,,-13.79%,5706,2.14%,-0.03,-0.67,9.69,,0.00%,-0.04%,-0.49%,-1.82%,0.00%,-0.22%,-0.22%,,12,11,-0.04,-0.15,,0.98,0.96,0.98,0.47,1.01,4.11,4.33,,0.02%,0.42%,0.71%,0.18%,-0.16%,0.77%,0.56%,-0.29%,-0.36%,,0.77%,-1.45%,2.23%,-2.32%,3.17%,-3.29%,,-1.33%,529,0.58,0.09,-0.01,,0.49%,-0.50%,49.59%,46.11%,44.62%,41.18%
XAUUSD_EURUSD,M30,10000,1/100,2007-03-06,2023-03-01,0.00%,100.00%,,-8.57%,-0.39%,,-0.2,18.67%,-0.2,-0.27,-0.27,-0.19,-0.19,0.96,,-14.31%,5706,2.15%,-0.03,-0.76,10.93,,0.00%,-0.05%,-0.53%,-1.94%,0.00%,-0.22%,-0.22%,,12,11,-0.04,-0.16,,0.98,0.96,0.97,0.47,1.01,4.12,4.31,,0.02%,0.42%,0.71%,0.18%,-0.17%,0.78%,0.58%,-0.33%,-0.39%,,0.77%,-1.62%,2.22%,-2.29%,3.19%,-3.34%,,-1.38%,529,0.59,0.09,-0.01,,0.49%,-0.50%,49.57%,46.11%,43.08%,41.18%
XAUUSD_GBPUSD,D1,10000,1/100,2007-03-06,2023-03-01,0.00%,100.00%,,-12.91%,-0.59%,,-0.28,10.49%,-0.28,-0.37,-0.37,-0.26,-0.26,0.95,,-19.12%,5697,2.39%,-0.03,-0.78,9.32,,0.00%,-0.07%,-0.81%,-2.71%,0.00%,-0.25%,-0.25%,,11,14,-0.05,-0.21,,0.94,0.95,0.89,0.45,0.93,4.01,4.18,,0.14%,0.79%,0.98%,0.23%,0.81%,0.82%,0.56%,-0.43%,-0.59%,,0.92%,-1.59%,2.49%,-2.53%,4.11%,-5.76%,,-1.28%,363,0.69,0.13,-0.01,,0.53%,-0.62%,50.23%,48.19%,49.23%,41.18%
XAUUSD_GBPUSD,H4,10000,1/100,2007-03-06,2023-03-01,0.00%,100.00%,,-13.40%,-0.62%,,-0.29,9.69%,-0.29,-0.39,-0.38,-0.27,-0.27,0.95,,-19.61%,5697,2.40%,-0.03,-0.77,9.33,,0.00%,-0.07%,-0.84%,-2.81%,0.00%,-0.25%,-0.25%,,11,14,-0.05,-0.22,,0.94,0.95,0.88,0.45,0.93,4.01,4.17,,0.14%,0.79%,0.99%,0.23%,0.81%,0.83%,0.52%,-0.37%,-0.62%,,0.93%,-1.60%,2.53%,-2.54%,4.14%,-5.76%,,-1.31%,363,0.7,0.13,-0.01,,0.52%,-0.64%,50.21%,48.70%,47.69%,35.29%
XAUUSD_GBPUSD,H1,10000,1/100,2007-03-06,2023-03-01,0.00%,100.00%,,-13.20%,-0.61%,,-0.29,10.05%,-0.28,-0.38,-0.38,-0.27,-0.27,0.95,,-19.51%,5697,2.40%,-0.03,-0.79,9.64,,0.00%,-0.07%,-0.83%,-2.76%,0.00%,-0.25%,-0.25%,,11,14,-0.05,-0.22,,0.94,0.95,0.88,0.45,0.93,3.99,4.17,,0.14%,0.79%,0.99%,0.23%,0.81%,0.82%,0.55%,-0.35%,-0.61%,,0.93%,-1.60%,2.53%,-2.54%,4.13%,-5.76%,,-1.31%,363,0.7,0.13,-0.01,,0.52%,-0.62%,50.17%,48.19%,46.15%,35.29%
XAUUSD_GBPUSD,M30,10000,1/100,2007-03-06,2023-03-01,0.00%,100.00%,,-13.40%,-0.62%,,-0.29,9.75%,-0.29,-0.39,-0.38,-0.27,-0.27,0.95,,-19.70%,5697,2.41%,-0.03,-0.86,10.49,,0.00%,-0.07%,-0.84%,-2.81%,0.00%,-0.25%,-0.25%,,11,14,-0.05,-0.22,,0.94,0.95,0.88,0.45,0.93,4.01,4.15,,0.14%,0.79%,0.99%,0.23%,0.81%,0.83%,0.56%,-0.39%,-0.62%,,0.93%,-1.69%,2.52%,-2.54%,4.14%,-5.76%,,-1.32%,363,0.7,0.13,-0.01,,0.53%,-0.63%,50.25%,48.19%,47.69%,41.18%
XAUUSD_NZDUSD,D1,10000,1/100,2007-03-06,2023-03-01,0.00%,100.00%,,-9.52%,-0.43%,,-0.23,15.52%,-0.23,-0.31,-0.31,-0.22,-0.22,0.96,,-15.39%,5718,2.13%,-0.03,-0.7,9.17,,0.00%,-0.05%,-0.59%,-2.21%,0.00%,-0.22%,-0.22%,,10,11,-0.04,-0.18,,0.97,0.96,0.95,0.46,0.99,4.17,4.4,,0.05%,0.77%,1.27%,0.25%,-0.20%,0.60%,0.60%,-0.31%,-0.43%,,0.73%,-1.34%,2.55%,-1.89%,3.87%,-3.71%,,-1.17%,415,0.62,0.1,-0.01,,0.53%,-0.50%,49.62%,44.04%,40.00%,41.18%
XAUUSD_NZDUSD,H4,10000,1/100,2007-03-06,2023-03-01,0.00%,100.00%,,-9.08%,-0.41%,,-0.22,16.71%,-0.22,-0.29,-0.29,-0.21,-0.21,0.96,,-14.95%,5718,2.12%,-0.03,-0.7,9.25,,0.00%,-0.05%,-0.56%,-2.10%,0.00%,-0.22%,-0.22%,,10,11,-0.04,-0.17,,0.98,0.96,0.96,0.46,1.01,4.18,4.38,,0.05%,0.77%,1.26%,0.25%,-0.20%,0.60%,0.54%,-0.26%,-0.41%,,0.73%,-1.34%,2.56%,-2.03%,3.85%,-3.29%,,-1.14%,415,0.61,0.09,-0.01,,0.51%,-0.51%,49.54%,45.08%,40.00%,41.18%
XAUUSD_NZDUSD,H1,10000,1/100,2007-03-06,2023-03-01,0.00%,100.00%,,-9.03%,-0.41%,,-0.21,16.83%,-0.21,-0.29,-0.29,-0.21,-0.21,0.96,,-14.91%,5718,2.12%,-0.03,-0.7,9.38,,0.00%,-0.05%,-0.56%,-2.09%,0.00%,-0.22%,-0.22%,,10,11,-0.04,-0.17,,0.98,0.96,0.97,0.46,1.01,4.19,4.38,,0.05%,0.77%,1.26%,0.25%,-0.20%,0.60%,0.56%,-0.26%,-0.41%,,0.73%,-1.36%,2.56%,-2.12%,3.85%,-2.90%,,-1.14%,415,0.61,0.09,-0.01,,0.52%,-0.50%,49.60%,44.56%,38.46%,41.18%
XAUUSD_NZDUSD,M30,10000,1/100,2007-03-06,2023-03-01,0.00%,100.00%,,-9.17%,-0.41%,,-0.22,16.46%,-0.22,-0.29,-0.29,-0.21,-0.21,0.96,,-15.05%,5718,2.12%,-0.03,-0.76,10.26,,0.00%,-0.05%,-0.56%,-2.12%,0.00%,-0.22%,-0.22%,,10,11,-0.04,-0.17,,0.98,0.96,0.96,0.46,1,4.19,4.38,,0.05%,0.77%,1.26%,0.25%,-0.20%,0.60%,0.56%,-0.29%,-0.41%,,0.73%,-1.49%,2.55%,-2.02%,3.85%,-3.11%,,-1.15%,415,0.61,0.09,-0.01,,0.52%,-0.51%,49.57%,44.56%,40.00%,41.18%
XAUUSD_USDCAD,D1,10000,1/100,2007-03-06,2023-03-01,0.00%,100.00%,,-11.96%,-0.55%,,-0.21,16.91%,-0.21,-0.29,-0.29,-0.21,-0.21,0.96,,-17.02%,5238,2.81%,-0.03,-0.41,5.29,,0.00%,-0.07%,-0.75%,-2.03%,0.00%,-0.29%,-0.29%,,13,12,-0.04,-0.16,,0.93,0.96,0.96,0.45,1,4.01,3.95,,0.19%,0.52%,0.95%,0.10%,-1.81%,0.84%,0.65%,-0.21%,-0.55%,,0.94%,-1.63%,3.07%,-2.93%,4.77%,-5.26%,,-4.58%,1166,0.7,0.11,-0.01,,0.74%,-0.72%,50.80%,45.08%,40.00%,41.18%
XAUUSD_USDCAD,H4,10000,1/100,2007-03-06,2023-03-01,0.00%,100.00%,,-11.07%,-0.51%,,-0.2,18.81%,-0.2,-0.27,-0.27,-0.19,-0.19,0.96,,-15.97%,5238,2.79%,-0.03,-0.4,5.34,,0.00%,-0.06%,-0.69%,-1.87%,0.00%,-0.29%,-0.29%,,13,9,-0.04,-0.15,,0.94,0.96,0.97,0.46,1,4,3.93,,0.19%,0.52%,0.94%,0.10%,-1.79%,0.83%,0.60%,-0.13%,-0.51%,,0.94%,-1.63%,3.07%,-2.93%,4.71%,-4.56%,,-4.37%,1166,0.69,0.11,-0.01,,0.73%,-0.70%,50.74%,45.08%,38.46%,47.06%
XAUUSD_USDCAD,H1,10000,1/100,2007-03-06,2023-03-01,0.00%,100.00%,,-10.42%,-0.47%,,-0.19,20.34%,-0.18,-0.25,-0.25,-0.18,-0.18,0.97,,-15.22%,5238,2.78%,-0.03,-0.43,5.84,,0.00%,-0.06%,-0.65%,-1.75%,0.00%,-0.29%,-0.29%,,13,9,-0.03,-0.14,,0.94,0.97,0.98,0.46,1.01,3.99,3.93,,0.19%,0.51%,0.93%,0.10%,-1.77%,0.83%,0.63%,-0.07%,-0.47%,,0.94%,-1.76%,3.06%,-2.94%,4.68%,-4.57%,,-4.22%,1166,0.67,0.1,-0.01,,0.73%,-0.69%,50.66%,45.08%,38.46%,52.94%
XAUUSD_USDCAD,M30,10000,1/100,2007-03-06,2023-03-01,0.00%,100.00%,,-11.13%,-0.51%,,-0.2,18.76%,-0.2,-0.27,-0.27,-0.19,-0.19,0.96,,-16.03%,5238,2.80%,-0.03,-0.49,6.61,,0.00%,-0.06%,-0.69%,-1.88%,0.00%,-0.29%,-0.29%,,13,10,-0.04,-0.15,,0.94,0.96,0.97,0.46,1.01,3.99,3.92,,0.19%,0.52%,0.94%,0.10%,-1.79%,0.83%,0.63%,-0.14%,-0.51%,,0.94%,-1.93%,3.06%,-2.93%,4.71%,-4.54%,,-4.38%,1166,0.69,0.11,-0.01,,0.73%,-0.70%,50.72%,45.08%,38.46%,47.06%
XAUUSD_USDCHF,D1,10000,1/100,2007-03-06,2023-03-01,0.00%,100.00%,,-13.29%,-0.61%,,-0.23,14.85%,-0.23,-0.31,-0.31,-0.22,-0.22,0.96,,-18.74%,5741,2.91%,-0.03,-0.85,9.5,,0.00%,-0.07%,-0.84%,-2.20%,0.00%,-0.30%,-0.30%,,13,10,-0.04,-0.17,,0.96,0.96,0.93,0.46,0.97,3.88,4.04,,0.16%,0.78%,1.97%,-0.03%,-1.05%,0.78%,0.80%,-0.29%,-0.61%,,0.95%,-2.28%,2.63%,-3.25%,5.56%,-5.68%,,-4.89%,1458,0.72,0.13,-0.01,,0.79%,-0.69%,50.00%,41.97%,43.08%,29.41%
XAUUSD_USDCHF,H4,10000,1/100,2007-03-06,2023-03-01,0.00%,100.00%,,-12.03%,-0.55%,,-0.21,17.35%,-0.21,-0.28,-0.28,-0.2,-0.2,0.96,,-17.40%,5741,2.88%,-0.03,-0.83,9.38,,0.00%,-0.07%,-0.75%,-1.98%,0.00%,-0.30%,-0.30%,,13,10,-0.04,-0.16,,0.96,0.96,0.94,0.46,0.97,3.86,3.98,,0.15%,0.77%,1.94%,-0.03%,-1.03%,0.77%,0.72%,-0.19%,-0.55%,,0.94%,-2.24%,2.59%,-3.24%,5.48%,-5.06%,,-4.55%,1458,0.69,0.12,-0.01,,0.78%,-0.67%,50.06%,41.97%,43.08%,35.29%
XAUUSD_USDCHF,H1,10000,1/100,2007-03-06,2023-03-01,0.00%,100.00%,,-11.69%,-0.54%,,-0.2,18.03%,-0.2,-0.27,-0.27,-0.19,-0.19,0.96,,-17.06%,5741,2.87%,-0.03,-0.85,9.67,,0.00%,-0.06%,-0.73%,-1.92%,0.00%,-0.30%,-0.30%,,13,10,-0.04,-0.16,,0.96,0.96,0.94,0.46,0.98,3.85,4,,0.15%,0.77%,1.93%,-0.02%,-1.03%,0.76%,0.75%,-0.18%,-0.54%,,0.93%,-2.24%,2.58%,-3.23%,5.45%,-4.96%,,-4.47%,1458,0.68,0.12,-0.01,,0.76%,-0.68%,50.04%,43.01%,43.08%,35.29%
XAUUSD_USDCHF,M30,10000,1/100,2007-03-06,2023-03-01,0.00%,100.00%,,-12.05%,-0.55%,,-0.21,17.31%,-0.21,-0.28,-0.28,-0.2,-0.2,0.96,,-17.42%,5741,2.88%,-0.03,-0.9,10.31,,0.00%,-0.07%,-0.75%,-1.99%,0.00%,-0.30%,-0.30%,,13,10,-0.04,-0.16,,0.96,0.96,0.94,0.46,0.97,3.86,3.97,,0.15%,0.77%,1.94%,-0.03%,-1.03%,0.77%,0.75%,-0.23%,-0.55%,,0.94%,-2.24%,2.59%,-3.23%,5.48%,-4.86%,,-4.56%,1458,0.69,0.12,-0.01,,0.76%,-0.68%,50.08%,43.01%,43.08%,35.29%
XAUUSD_USDJPY,D1,10000,1/100,2007-03-06,2023-03-01,0.00%,100.00%,,-14.75%,-0.69%,,-0.3,9.36%,-0.29,-0.4,-0.4,-0.28,-0.28,0.95,,-18.14%,5726,2.61%,-0.04,-0.49,5.92,,0.00%,-0.08%,-0.93%,-2.78%,0.00%,-0.27%,-0.27%,,13,12,-0.05,-0.21,,0.97,0.95,0.9,0.45,0.95,3.95,4.12,,0.14%,0.83%,1.75%,-0.21%,-2.25%,0.24%,0.42%,-0.55%,-0.69%,,0.87%,-1.41%,2.54%,-2.16%,4.93%,-6.95%,,-2.11%,647,0.84,0.12,-0.01,,0.69%,-0.66%,49.32%,43.01%,46.15%,29.41%
XAUUSD_USDJPY,H4,10000,1/100,2007-03-06,2023-03-01,0.00%,100.00%,,-13.90%,-0.64%,,-0.28,10.66%,-0.28,-0.38,-0.38,-0.27,-0.27,0.95,,-17.29%,5726,2.59%,-0.04,-0.47,5.95,,0.00%,-0.08%,-0.88%,-2.61%,0.00%,-0.27%,-0.27%,,13,12,-0.05,-0.2,,0.98,0.95,0.9,0.46,0.95,3.93,4.1,,0.14%,0.82%,1.73%,-0.20%,-2.23%,0.24%,0.42%,-0.41%,-0.64%,,0.86%,-1.42%,2.51%,-2.17%,4.88%,-5.19%,,-2.02%,647,0.83,0.12,-0.01,,0.68%,-0.66%,49.28%,43.52%,46.15%,35.29%
XAUUSD_USDJPY,H1,10000,1/100,2007-03-06,2023-03-01,0.00%,100.00%,,-13.40%,-0.62%,,-0.27,11.53%,-0.27,-0.37,-0.37,-0.26,-0.26,0.95,,-16.79%,5726,2.58%,-0.04,-0.45,5.95,,0.00%,-0.07%,-0.84%,-2.51%,0.00%,-0.27%,-0.27%,,13,12,-0.05,-0.19,,0.98,0.95,0.91,0.46,0.96,3.92,4.12,,0.14%,0.82%,1.72%,-0.20%,-2.21%,0.24%,0.40%,-0.38%,-0.62%,,0.86%,-1.42%,2.49%,-2.16%,4.85%,-4.26%,,-1.97%,647,0.82,0.11,-0.01,,0.70%,-0.65%,49.20%,43.01%,46.15%,35.29%
XAUUSD_USDJPY,M30,10000,1/100,2007-03-06,2023-03-01,0.00%,100.00%,,-14.19%,-0.66%,,-0.29,10.13%,-0.28,-0.39,-0.39,-0.27,-0.27,0.95,,-17.58%,5726,2.59%,-0.04,-0.46,5.89,,0.00%,-0.08%,-0.90%,-2.67%,0.00%,-0.27%,-0.27%,,13,12,-0.05,-0.2,,0.98,0.95,0.91,0.46,0.95,3.92,4.1,,0.14%,0.82%,1.74%,-0.21%,-2.23%,0.24%,0.41%,-0.45%,-0.66%,,0.87%,-1.42%,2.52%,-2.15%,4.90%,-5.13%,,-2.05%,647,0.83,0.12,-0.01,,0.69%,-0.66%,49.24%,43.01%,46.15%,35.29%